Dia_do_Teste;Preco_Real_US$;Previsao_IA_US$
1;419,8885192871094;417,69728364823555
2;419,23614501953125;420,5146287197808
3;410,7454833984375;420,753771819792
4;411,97113037109375;416,99100707083863
5;408,70928955078125;419,84001418269344
6;409,05523681640625;414,5653640573251
7;405,85272216796875;413,65504528969825
8;408,34356689453125;409,49726675340406
9;412,31707763671875;410,88822796117427
10;404,7060852050781;413,3464967720664
11;404,1723327636719;405,41966518823045
12;403,6682434082031;402,4963967274743
13;397,0556335449219;402,05881707346316
14;401,0290832519531;398,3940858539168
15;409,4111022949219;400,7837974920438
16;418,14886474609375;406,60379709662965
17;422,0630798339844;414,779010945155
18;425,6116027832031;422,18210252470277
19;426,3529357910156;425,0355021961254
20;430,1188049316406;427,22906790647346
21;425,82904052734375;430,7282288258195
22;433,617919921875;428,32762607402583
23;430,2374572753906;433,7848652900809
24;428,4978332519531;430,9595228101414
25;424,2080078125;432,3001968371424
26;427,114013671875;428,3284936723381
27;426,3232727050781;428,91012140752304
28;423,0712585449219;431,09960073445507
29;425,32489013671875;426,7166012829616
30;415,8260498046875;425,455446143476
31;412,30718994140625;416,8788661957828
32;411,72406005859375;413,45979628805765
33;411,24957275390625;411,4120478530298
34;404,8049621582031;412,14867161316033
35;409,9151916503906;406,4651558521507
36;412,6333923339844;410,470392614388
37;411,0321044921875;410,8845739151512
38;411,506591796875;410,9355022072193
39;414,2939453125;411,78676366295326
40;413,8985900878906;416,17533189577256
41;411,30889892578125;413,74072788876674
42;411,9019470214844;411,496509861589
43;413,3253173828125;414,1878041626431
44;413,9381408691406;413,7423584074074
45;422,5672302246094;416,97427350238746
46;419,69085693359375;425,03623611934376
47;419,8193359375;423,68007072994806
48;423,1997985839844;422,9370931631595
49;421,6578063964844;428,83514276376366
50;426,9558410644531;426,38279032912334
51;427,52911376953125;428,54541239199455
52;401,6518859863281;432,0332589880189
53;405,6253662109375;407,55740407911156
54;403,7374267578125;408,71781894384674
55;406,7027587890625;407,15478086524234
56;415,32196044921875;410,14162271297937
57;420,5111999511719;416,43107656917454
58;417,6546630859375;422,1071178486966
59;413,17706298828125;421,64308710183025
60;418,1390075683594;416,65243951934434
61;420,2839050292969;419,6343941633709
62;421,954345703125;421,59086617624916
63;410,2018127441406;422,21468518358625
64;410,9530334472656;415,4142412150579
65;412,9595947265625;413,1286936405374
66;410,6861877441406;413,9368083878452
67;408,913330078125;417,6541071622101
68;413,00372314453125;415,2259575654349
69;414,7765808105469;416,17057626380455
70;423,888427734375;417,34252806289123
71;418,9363098144531;421,7774391947764
72;419,4018249511719;419,59162104408796
73;426,8497619628906;420,5137482897185
74;427,0676574707031;427,0356008513589
75;433,22802734375;428,33153450619704
76;438,3782043457031;433,185535533219
77;439,3191223144531;437,4096212807999
78;441,74560546875;444,42356594780057
79;439,0813903808594;443,94126721968587
80;444,6871643066407;442,0962767547713
81;445,25170898437506;446,35816993258993
82;442,983642578125;448,9450580468101
83;447,26226806640625;445,77539989380097
84;450,104736328125;446,92249128733255
85;433,19830322265625;448,23640984441874
86;432,841796875;435,12313866851895
87;432,41595458984375;434,4565076497885
88;431,0788269042969;432,6994932013991
89;435,1197204589844;434,37297083690584
90;433,9114074707031;435,1991872553922
91;426,4040832519531;433,252881441644
92;420,7586669921875;426,8018009584342
93;417,4606628417969;421,1462550139463
94;414,568603515625;419,4103044529728
95;419,29290771484375;415,51982551533916
96;423,7497863769531;419,2802224359074
97;418,322265625;425,27370353824296
98;420,4913024902344;419,8849852221088
99;414,9350280761719;419,0495995653694
100;413,19195556640625;417,6046511217074
101;411,6864929199219;414,1645686403417
102;422,2245178222656;412,6950339937294
103;420,5110778808594;421,4801234990061
104;424,91845703125;421,0128985325599
105;424,3935241699219;425,43129927585596
106;441,9239196777344;426,8845760018768
107;442,42901611328125;439,7571307596295
108;439,80438232421875;442,8809678292754
109;430,39544677734375;442,26871324533806
110;442,9143371582031;428,31966439610426
111;438,09100341796875;436,9254166408648
112;411,01300048828125;438,6536297885221
113;411,0823669433594;419,0641829160531
114;406,9820556640625;417,38797166790056
115;408,4181213378906;412,00808500915
116;409,329345703125;411,98538622442544
117;411,8350524902344;410,6419306310685
118;405,8232116699219;413,451857575
119;408,2695617675781;410,12129149206675
120;407,4970397949219;411,67213448657253
121;405,1200256347656;407,1137630897526
122;406,60565185546875;405,9139366010718
123;404,515869140625;407,89922242894465
124;405,7142639160156;408,6081915177
125;410,79510498046875;404,7493671726694
